model,preprocessing,vectorization,n_features,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,training_time,device
Logistic Regression,clean_basic_lemma,frequency,36641,0.7335760383915274,0.4993202480537663,0.4410794899776838,0.4635011736822193,0.7013377032098612,0.7335760383915274,0.7127511243301383,9.174918,CPU
Linear SVC,clean_basic_lemma,frequency,36641,0.7009763362568261,0.4520925389588174,0.4050601412460475,0.42475154169707097,0.6848324372268063,0.7009763362568261,0.6919102188410828,2.025926,CPU
Multinomial NB,clean_basic_lemma,frequency,36641,0.6988250868773788,0.5209852420248688,0.31664399571872165,0.3243645720086069,0.7002791057177743,0.6988250868773788,0.6876782883754237,0.005623,CPU
Random Forest,clean_basic_lemma,frequency,36641,0.6970047989409234,0.2993839019542895,0.20064035895729315,0.16563257405107543,0.6393735258361778,0.6970047989409234,0.5733699333454001,0.141455,CPU
Logistic Regression,clean_basic_lemma,tfidf,36641,0.7332450769485355,0.5536550114988061,0.3438282900670133,0.3825205542030091,0.6899707022865578,0.7332450769485355,0.6956334953148343,0.431742,CPU
Linear SVC,clean_basic_lemma,tfidf,36641,0.7305973854046004,0.509980309084473,0.4099686240328914,0.4431300572158898,0.696183330286601,0.7305973854046004,0.7075534446275754,0.310688,CPU
Multinomial NB,clean_basic_lemma,tfidf,36641,0.6970047989409234,0.19230621374152515,0.20076481077787087,0.16614040074388572,0.5370685621085514,0.6970047989409234,0.5743264689886466,0.005776,CPU
Random Forest,clean_basic_lemma,tfidf,36641,0.6965083567764355,0.1393016713552871,0.2,0.16422161529457666,0.4851238910594104,0.6965083567764355,0.5719086370799877,0.157765,CPU
Logistic Regression,clean_basic_stopwords,binarized,45487,0.7185172927353963,0.46193966816657783,0.4108829233878596,0.4320981668036216,0.6982825592192524,0.7185172927353963,0.7069645818709813,8.863737,CPU
Linear SVC,clean_basic_stopwords,binarized,45487,0.6965083567764355,0.4651896502275138,0.4144707543494624,0.4354143720803438,0.6861883269090044,0.6965083567764355,0.6905832473516089,1.95229,CPU
